,ID,Title,Adult,Budget,Genres1,Genres2,Genres3,Genres4,Language,Production Company1,Production Company2,Production Company3,Production Company4,Production Country,Release Date,Run Time,Vote Average,Vote Count
0,5,Four Rooms,False,4000000,Crime,Comedy,,,en,Miramax,A Band Apart,,,US,1995-12-09,98,6.1,1311
1,6,Judgment Night,False,21000000,Action,Thriller,Crime,,en,Universal Pictures,Largo Entertainment,JVC Entertainment Networks,,JP,1993-10-15,110,6.6,127
2,11,Star Wars,False,11000000,Adventure,Action,Science Fiction,,en,Lucasfilm,20th Century Fox,,,US,1977-05-25,121,8.2,12111
3,12,Finding Nemo,False,94000000,Animation,Family,,,en,Pixar,,,,US,2003-05-30,100,7.8,12357
4,13,Forrest Gump,False,55000000,Comedy,Drama,Romance,,en,Paramount,,,,US,1994-07-06,142,8.4,15936
5,14,American Beauty,False,15000000,Drama,,,,en,Jinks/Cohen Company,DreamWorks Pictures,,,US,1999-09-15,122,8.0,6955
6,15,Citizen Kane,False,839727,Mystery,Drama,,,en,RKO Radio Pictures,Mercury Productions,,,US,1941-04-30,119,8.1,2608
7,16,Dancer in the Dark,False,12800000,Drama,Crime,Music,,en,Lantia Cinema & Audiovisivi,Fine Line Features,Zentropa Entertainments,Danmarks Radio (DR),AR,2000-05-17,141,7.9,859
8,18,The Fifth Element,False,90000000,Adventure,Fantasy,Action,Thriller,en,Columbia Pictures,Gaumont,,,FR,1997-05-02,126,7.4,6592
9,19,Metropolis,False,92620000,Drama,Science Fiction,,,de,Universum Film (UFA),,,,DE,1927-01-10,153,8.2,1258
